name,country,gender,stime1,stime2,ftime1,ftime2,ctime,rank,olympian
Janine Flock,AT,female,546,540,5484,5493,10977,1,TRUE
Lizzy Yarnold,GB,female,537,532,5494,5564,11058,2,TRUE
Mirela Rahneva,CA,female,530,526,5539,5553,11092,3,FALSE
Anna Fernstaedt,DE,female,561,572,5517,5579,11096,4,FALSE
Jacqueline Loelling,DE,female,574,570,5560,5537,11097,5,FALSE
Anne O'Shea,US,female,549,532,5581,5539,11120,6,FALSE
Lelde Priedulena,LV,female,554,538,5577,5562,11139,7,TRUE
Elisabeth Vathje,CA,female,546,539,5605,5539,11144,8,FALSE
Maria Orlova,RU,female,544,535,5603,5548,11151,9,TRUE
Tina Hermann,DE,female,556,549,5586,5567,11153,10,FALSE
Laura Deas,GB,female,553,526,5608,5545,11153,10,FALSE
Kimberley Bos,NL,female,555,548,5607,5561,11168,12,FALSE
Kendall Wesenberg,US,female,554,550,5581,5593,11174,13,FALSE
Marina Gilardoni,CH,female,539,522,5601,5580,11181,14,TRUE
Savannah Graybill,US,female,573,564,5605,5579,11184,15,FALSE
Jane Channell,CA,female,523,523,5576,5612,11188,16,FALSE
Jaclyn Narracott,AU,female,551,558,5620,5577,11197,17,FALSE
Elena Nikitina,RU,female,529,527,5644,5596,11240,18,TRUE
Takako Oguchi,JP,female,561,557,5641,5618,11259,19,FALSE
Yulia Kanakina,RU,female,528,520,5617,5671,11288,20,FALSE
Joska Le Conte,NL,female,560,,5668,,5668,21,FALSE
Kim Meylemans,BE,female,557,,5668,,5668,21,FALSE
Rayoung Mun,KR,female,571,,5681,,5681,23,FALSE
Katie Tannenbaum,VI,female,582,,5738,,5738,24,FALSE
Maria Montejano,ES,female,558,,5828,,5828,25,FALSE
Alexander Tretiakov,RU,male,483,483,5327,5322,10649,1,TRUE
Matthew Antoine,US,male,503,498,5345,5347,10692,2,TRUE
Sungbin Yun,KR,male,483,481,5324,5370,10694,3,TRUE
Tomass Dukurs,LV,male,502,496,5372,5346,10718,4,TRUE
Martins Dukurs,LV,male,487,493,5381,5378,10759,5,TRUE
Axel Jungk,DE,male,499,498,5394,5371,10765,6,FALSE
Christopher Grotheer,DE,male,506,499,5369,5403,10772,7,FALSE
Nikita Tregybov,RU,male,495,494,5391,5399,10790,8,TRUE
Alexander Gassner,DE,male,504,502,5383,5409,10792,9,FALSE
Dominic Edward Parsons,GB,male,505,504,5420,5388,10808,10,TRUE
Nathan Crumpton,US,male,498,494,5426,5388,10814,11,FALSE
Rhys Thornbury,NZ,male,512,509,5408,5421,10829,12,FALSE
Ander Mirambell,ES,male,520,516,5419,5449,10868,13,TRUE
Barrett Martineau,CA,male,507,502,5444,5431,10875,14,FALSE
Hansin Lee,KR,male,508,507,5425,5459,10884,15,TRUE
John Farrow,AU,male,533,531,5453,5471,10924,16,TRUE
Dave Greszczyszyn,CA,male,505,505,5439,5487,10926,17,FALSE
Hiroatsu Takahashi,JP,male,512,511,5464,5463,10927,18,TRUE
Kyle Tress,US,male,512,514,5459,5472,10931,19,TRUE
Joseph Luke Cecchini,IT,male,503,506,5445,5493,10938,20,FALSE
Matthias Guggenberger,AT,male,500,,5470,,5470,21,TRUE
Egor Veselov,RU,male,515,,5494,,5494,22,FALSE
Alexander Auer,AT,male,521,,5508,,5508,23,FALSE
Kevin Boyer,CA,male,502,,5533,,5533,24,FALSE
Jack Thomas,GB,male,493,,5534,,5534,25,FALSE
Marco Rohrer,CH,male,506,,5549,,5549,26,FALSE
Ronald Auderset,CH,male,503,,5560,,5560,27,FALSE
